pilot,gender,year,race,hsdipl,degree,eduyrs,ideo,income,radact1,radact2,radact3,radact4,radact5,radact6,endvio1,endvio2,endvio3,endvio4,cons1,cons2,cons3,cons4,cons5,cons6,cons7,cons8,cons9,cons10,cons11,cons12,cons13,cons14,cons15,agg1,agg2,agg3,agg4,agg5,agg6,agg7,agg8,agg9,agg10,agg11,agg12,agg13,agg14,agg15,agg16,agg17,agg18,agg19,agg20,agg21,agg22,agg23,agg24,agg25,agg26,agg27,agg28,agg29,rwa1,rwa2,rwa3,rwa4,rwa5,rwa6,rwa7,rwa8,rwa9,rwa10,rwa11,rwa12,rwa13,rwa14,rwa15,rwa16,rwa17,rwa18,rwa19,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,sdo16,intself1,intself2,intself3,intself4,intself5,intself6,intself7,intself8,trust1,trust2,trust3,trust4,trust5,trust6,trust7,trust8,trust9,trust10
0,1,1982,5,-999,1,2,4,3,1,6,6,7,7,-999,2,3,2,1,5,3,1,2,2,5,2,1,4,4,4,1,1,4,5,-999,6,1,-999,1,-999,7,1,-999,-999,3,-999,-999,-999,1,1,1,5,1,-999,1,-999,-999,5,-999,-999,6,1,-999,1,1,1,7,5,-999,1,7,6,-999,-999,1,7,1,-999,1,1,6,1,1,2,-999,2,-999,-999,1,1,7,-999,6,-999,-999,7,6,-999,-999,7,6,7,-999,7,-999,6,1,3,0,1,0,5,2,5,4,6
0,1,1988,15,1,-999,1,1,3,1,1,-999,3,-999,1,1,5,1,1,3,4,2,2,4,4,2,3,3,5,4,4,2,5,5,-999,-999,-999,1,1,1,6,1,3,7,-999,-999,-999,7,-999,-999,1,5,-999,1,-999,-999,-999,-999,-999,7,1,7,1,1,1,1,7,1,-999,1,5,7,1,-999,2,7,-999,-999,-999,1,7,2,1,1,1,-999,1,-999,-999,1,-999,-999,7,-999,7,7,-999,-999,-999,-999,-999,5,-999,-999,3,3,1,1,2,0,0,1,0,1,1,5
0,1,1980,5,-999,8,2,2,1,1,2,2,-999,2,2,3,3,3,1,3,1,1,2,1,4,1,1,1,3,1,2,1,3,3,-999,6,-999,-999,-999,-999,-999,1,-999,-999,2,-999,1,1,-999,-999,1,-999,-999,1,1,1,-999,4,1,1,7,1,4,-999,1,-999,7,-999,7,4,7,-999,4,-999,-999,4,4,4,1,-999,7,-999,5,-999,-999,-999,4,4,7,-999,4,-999,4,1,4,4,1,4,4,1,-999,1,-999,-999,4,-999,4,4,5,2,2,2,4,2,5,7
0,1,1988,5,-999,2,2,2,2,-999,-999,1,-999,-999,-999,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,-999,1,-999,-999,1,5,-999,-999,1,5,5,3,-999,-999,2,7,6,-999,-999,2,1,3,-999,-999,-999,-999,-999,6,7,2,1,1,7,4,-999,2,7,-999,1,-999,-999,6,-999,7,1,-999,7,2,1,6,-999,2,-999,1,-999,-999,7,-999,7,7,-999,-999,6,7,-999,6,7,-999,-999,7,7,-999,1,1,1,1,3,1,1,5,1,1
0,2,1959,1,-999,1,2,2,2,3,-999,6,-999,5,4,2,3,3,4,4,3,4,3,4,3,4,3,3,3,4,4,3,4,4,5,-999,-999,6,-999,-999,6,6,5,-999,-999,-999,-999,5,5,6,-999,-999,-999,-999,5,-999,5,5,6,-999,5,6,-999,-999,7,5,-999,4,4,6,6,-999,4,-999,7,-999,5,-999,5,-999,4,5,5,-999,-999,5,4,4,-999,6,-999,-999,-999,-999,-999,5,5,6,-999,4,6,4,5,4,5,5,0,0,0,0,0,0,0,0,0,0
0,2,1987,5,-999,7,2,2,2,-999,1,1,-999,1,4,1,1,1,1,4,3,3,2,2,3,2,2,1,3,3,3,1,2,4,-999,-999,-999,-999,-999,-999,3,-999,-999,-999,4,3,-999,-999,-999,-999,3,-999,-999,-999,-999,-999,4,-999,-999,-999,4,-999,-999,3,1,2,7,3,7,-999,-999,6,1,7,-999,-999,-999,6,-999,3,-999,-999,-999,2,-999,2,2,2,2,3,7,7,-999,7,6,7,7,-999,4,-999,3,4,3,-999,-999,-999,4,3,4,4,4,4,4,4,4,4
0,2,1978,5,-999,8,2,2,2,1,3,-999,5,-999,3,3,2,2,1,4,2,3,4,4,4,3,3,2,4,4,2,2,4,5,-999,-999,2,1,-999,-999,6,1,-999,-999,-999,3,1,5,-999,-999,-999,3,-999,5,-999,2,-999,3,6,6,1,-999,-999,2,-999,1,7,1,7,1,7,7,1,7,3,-999,-999,-999,1,-999,-999,-999,1,-999,1,-999,1,1,1,-999,7,-999,-999,-999,7,7,6,7,6,5,6,5,-999,7,7,6,1,4,2,2,2,3,7,8,3,3
0,2,1969,5,-999,2,2,5,4,1,1,1,1,-999,1,1,1,1,1,2,2,2,1,4,2,2,2,2,4,4,2,2,2,4,-999,-999,-999,1,1,-999,-999,1,7,7,-999,-999,-999,-999,-999,7,-999,-999,1,7,-999,1,6,6,3,-999,-999,5,4,5,1,1,6,-999,7,-999,-999,7,-999,7,7,-999,-999,3,1,1,7,-999,7,-999,-999,-999,5,6,7,-999,-999,-999,-999,-999,-999,4,-999,3,7,-999,7,7,7,7,7,-999,3,10,7,1,1,3,3,3,5,6
0,2,1956,5,-999,1,2,1,4,-999,1,1,-999,-999,1,2,2,2,1,1,2,1,1,2,1,1,1,1,3,1,2,1,2,4,1,1,3,1,4,-999,-999,-999,1,-999,4,-999,-999,-999,-999,3,-999,6,1,-999,1,1,2,-999,1,-999,-999,-999,2,-999,-999,1,-999,2,6,-999,3,7,-999,7,2,5,1,6,1,-999,7,1,1,-999,-999,-999,1,-999,1,-999,-999,7,7,-999,-999,6,6,-999,3,5,-999,-999,5,6,4,-999,3,4,3,1,3,3,4,5,4,7
0,1,1978,4,-999,2,2,2,5,3,4,-999,4,4,-999,3,4,4,2,3,2,3,3,4,3,3,2,2,4,3,4,3,3,3,3,5,4,-999,4,-999,-999,-999,-999,-999,5,-999,4,4,-999,4,-999,4,5,5,4,-999,-999,5,-999,-999,6,-999,-999,4,6,4,4,5,5,5,5,5,-999,5,-999,3,-999,5,4,3,7,5,5,-999,-999,-999,-999,-999,4,-999,5,5,-999,-999,4,4,4,-999,5,5,6,-999,5,4,-999,4,7,9,7,7,5,5,5,6,8,4
0,1,1979,2,-999,2,2,3,7,-999,-999,-999,7,-999,6,1,2,1,1,4,3,5,2,5,4,5,1,1,4,3,5,1,4,5,1,-999,2,1,-999,4,7,-999,-999,-999,1,2,-999,-999,-999,2,-999,-999,-999,-999,1,-999,4,-999,6,2,7,-999,6,6,-999,-999,7,-999,2,7,1,-999,7,-999,-999,-999,6,-999,2,7,-999,-999,-999,5,5,3,7,2,-999,3,-999,-999,-999,-999,5,7,-999,7,6,6,6,5,6,6,5,-999,4,8,8,7,4,7,9,9,8,4
0,2,1970,5,-999,2,2,2,4,-999,1,-999,6,-999,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,3,1,1,3,-999,-999,-999,-999,-999,-999,6,-999,1,5,3,5,-999,3,3,-999,1,6,-999,1,-999,2,2,-999,2,-999,-999,-999,1,-999,1,-999,7,2,7,-999,-999,-999,1,7,-999,-999,-999,4,-999,1,-999,-999,1,2,-999,2,1,2,1,-999,-999,-999,7,-999,-999,6,5,7,6,6,6,-999,6,-999,5,-999,6,7,7,4,5,7,7,8,8,8
0,1,1957,5,-999,8,2,6,7,1,-999,1,-999,2,-999,2,2,2,1,4,2,2,2,4,3,2,2,2,4,4,2,2,2,4,-999,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,4,3,-999,-999,-999,-999,-999,-999,4,1,-999,5,3,-999,3,3,5,-999,4,5,-999,-999,-999,-999,4,-999,5,-999,-999,3,4,-999,-999,-999,5,-999,4,7,-999,-999,5,1,3,-999,5,-999,-999,6,7,5,-999,3,6,6,3,4,3,6,6,2,1
0,1,1987,5,-999,2,2,6,2,1,1,1,1,1,-999,2,2,2,2,2,1,1,1,1,1,1,1,1,4,4,1,1,2,4,-999,2,2,4,-999,2,-999,-999,-999,5,-999,-999,1,5,-999,-999,2,-999,5,3,2,-999,2,-999,6,3,-999,-999,4,5,1,-999,7,6,5,-999,-999,-999,2,5,2,2,-999,3,3,4,6,5,6,6,6,6,5,-999,-999,6,-999,2,3,1,2,2,1,2,-999,5,6,6,6,6,-999,5,4,8,8,4,5,4,6,6,5,5
0,2,1948,5,-999,1,2,3,6,-999,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-999,2,1,2,-999,7,-999,-999,-999,2,-999,-999,5,4,-999,-999,7,-999,-999,2,-999,-999,-999,1,1,-999,1,3,-999,1,-999,6,-999,7,-999,6,-999,-999,5,-999,7,1,5,-999,-999,7,-999,1,1,1,2,1,1,7,1,-999,-999,-999,7,-999,-999,4,7,5,3,6,-999,6,-999,5,-999,6,8,8,6,8,9,6,7,8,8
0,1,1974,5,-999,7,2,3,1,1,-999,1,4,-999,-999,2,2,2,2,4,3,1,3,4,4,2,1,1,3,4,2,1,3,4,-999,2,-999,-999,4,-999,7,1,4,-999,4,3,-999,-999,4,3,2,-999,-999,-999,3,5,3,4,-999,2,-999,-999,-999,4,1,-999,-999,4,3,-999,-999,-999,-999,7,-999,7,-999,5,-999,3,-999,-999,2,-999,1,-999,3,4,1,1,5,7,7,-999,6,-999,6,7,-999,5,6,5,5,-999,-999,5,4,4,6,4,4,4,5,4,6,7
0,1,1979,5,-999,8,2,4,2,-999,1,-999,5,1,1,1,4,1,1,3,2,1,2,2,3,2,3,2,3,3,2,2,3,2,-999,2,-999,1,-999,1,-999,-999,-999,-999,4,4,-999,-999,-999,5,1,6,1,1,-999,5,-999,-999,2,3,4,-999,4,2,-999,4,-999,2,4,-999,6,2,-999,7,-999,1,-999,3,4,5,-999,7,5,2,-999,-999,2,2,1,2,-999,7,-999,7,6,-999,7,-999,7,7,6,7,-999,6,6,-999,1,8,9,2,1,3,5,5,8,5
0,2,1950,5,-999,8,2,2,2,-999,3,1,-999,3,-999,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-999,-999,-999,2,3,-999,5,-999,2,7,4,7,3,-999,-999,3,-999,4,-999,-999,-999,1,4,4,-999,1,-999,-999,4,1,1,-999,-999,1,-999,-999,-999,-999,-999,-999,4,7,1,7,1,1,-999,4,1,-999,2,-999,-999,1,-999,3,7,-999,-999,5,-999,5,5,7,-999,-999,4,5,-999,5,5,5,5,5,7,0,0,7,5,5,7,7
0,2,1987,5,-999,7,2,4,2,-999,1,2,-999,5,3,1,1,1,1,3,2,1,2,4,1,3,4,3,4,4,4,4,4,4,-999,-999,5,2,-999,4,4,-999,-999,-999,2,4,2,-999,4,-999,-999,-999,1,2,-999,-999,-999,5,2,2,-999,2,-999,-999,2,-999,-999,-999,4,3,-999,-999,5,3,5,1,4,-999,5,6,-999,5,2,-999,-999,-999,5,-999,1,-999,-999,6,7,5,-999,-999,4,5,2,4,-999,3,1,-999,4,-999,1,0,2,2,0,1,0,1,1,1
0,1,1972,5,-999,5,2,4,6,-999,1,1,6,1,-999,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,4,1,-999,-999,1,-999,-999,-999,1,-999,6,2,2,4,3,2,2,1,-999,-999,1,-999,-999,1,-999,-999,-999,5,-999,-999,2,1,1,-999,1,3,2,-999,-999,-999,-999,7,2,1,6,4,2,3,-999,5,-999,6,2,4,5,-999,2,-999,-999,6,-999,6,5,-999,6,6,6,-999,-999,-999,-999,5,-999,5,7,8,4,4,6,4,7,7,5
0,1,1987,1,-999,1,2,4,4,-999,7,-999,-999,-999,7,3,3,3,3,3,5,5,3,3,3,3,5,3,3,5,5,3,3,5,-999,7,7,-999,-999,-999,-999,-999,-999,7,7,-999,7,1,7,1,1,-999,-999,1,-999,1,-999,1,7,-999,-999,1,7,1,-999,7,-999,-999,-999,4,-999,7,1,7,-999,7,4,-999,1,7,7,-999,-999,7,-999,7,4,-999,4,-999,1,1,-999,1,-999,1,1,1,7,-999,7,7,7,7,-999,-999,0,0,3,0,0,0,0,1,3,3
0,1,1939,5,-999,1,2,2,1,1,-999,2,1,1,1,2,2,1,1,4,4,3,2,3,3,4,1,2,4,4,4,1,2,4,-999,-999,1,1,-999,1,-999,-999,1,-999,-999,1,3,-999,2,-999,-999,3,1,-999,1,1,2,-999,2,1,-999,1,-999,2,1,1,-999,2,-999,2,-999,5,-999,6,2,-999,2,-999,-999,-999,6,2,-999,-999,3,-999,2,1,-999,-999,-999,-999,6,-999,6,-999,6,6,6,6,-999,-999,6,-999,-999,-999,2,2,7,2,3,6,5,6,7,7
0,2,1978,5,-999,1,2,3,6,1,1,-999,7,1,3,1,1,1,1,1,1,1,1,4,1,1,3,1,5,2,1,1,1,3,-999,-999,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7,1,-999,1,-999,-999,1,1,-999,-999,-999,-999,-999,1,3,7,-999,-999,3,7,6,1,-999,4,1,4,-999,-999,5,-999,-999,-999,-999,1,1,1,2,-999,1,6,7,7,5,7,-999,-999,-999,7,6,-999,-999,-999,7,5,-999,6,7,8,5,3,5,7,7,7,7
0,2,1990,5,-999,8,2,1,2,-999,2,-999,-999,-999,2,1,1,1,1,5,3,2,3,3,4,3,2,2,3,4,4,2,3,5,1,1,-999,1,-999,1,7,1,-999,-999,-999,1,-999,2,3,4,-999,-999,-999,3,-999,-999,5,6,6,-999,-999,-999,1,-999,-999,1,-999,1,7,2,7,5,-999,7,1,-999,-999,7,1,1,7,2,-999,3,-999,2,2,-999,1,-999,7,7,-999,7,7,-999,-999,7,4,5,5,4,5,-999,4,-999,5,1,1,0,0,1,0,1,5,5
0,1,1981,5,-999,8,2,4,1,2,-999,-999,-999,-999,7,2,2,2,1,5,4,3,4,5,5,4,5,4,5,5,5,4,5,5,2,6,-999,3,-999,-999,2,7,-999,-999,5,-999,5,-999,6,5,-999,-999,-999,2,-999,1,5,6,-999,5,7,-999,-999,-999,-999,4,-999,2,7,5,-999,5,-999,7,6,-999,-999,-999,1,1,-999,6,1,1,-999,-999,1,1,3,-999,5,2,6,-999,5,5,-999,-999,-999,5,-999,6,6,-999,5,5,1,0,0,0,0,0,3,4,0,0
0,1,1973,5,-999,1,2,6,1,-999,6,-999,7,6,-999,5,5,5,5,1,2,3,4,5,4,3,2,1,5,4,3,2,1,1,7,-999,-999,7,-999,2,7,-999,7,-999,-999,4,-999,-999,7,-999,6,-999,4,-999,1,4,6,-999,6,-999,-999,3,-999,-999,6,-999,2,2,6,-999,1,2,-999,2,-999,-999,2,-999,3,2,-999,3,3,6,5,5,3,1,1,2,2,-999,-999,5,3,4,-999,3,-999,-999,6,5,5,-999,7,-999,9,8,10,8,9,10,8,7,9,9
0,1,1977,5,1,-999,1,3,1,1,-999,2,-999,1,3,2,2,1,1,4,1,1,1,1,2,1,1,1,4,2,1,1,2,4,1,-999,-999,1,1,1,-999,1,-999,7,6,3,-999,-999,-999,-999,-999,7,-999,-999,-999,-999,7,-999,1,5,7,-999,7,1,-999,1,-999,1,-999,1,7,6,-999,-999,-999,7,1,7,1,-999,-999,-999,-999,-999,1,1,-999,-999,1,1,7,-999,7,5,7,-999,5,7,5,-999,5,-999,-999,6,-999,6,0,2,4,1,1,1,2,2,2,2
0,1,1981,5,-999,1,2,5,4,4,4,-999,-999,-999,-999,4,3,3,3,2,3,2,3,4,4,3,2,4,4,4,4,3,2,4,-999,4,-999,-999,5,-999,-999,-999,-999,-999,5,-999,4,-999,-999,-999,-999,5,4,4,4,5,-999,6,-999,5,5,5,5,5,4,5,3,5,-999,-999,-999,5,5,5,6,5,5,5,-999,5,5,-999,-999,5,-999,-999,-999,-999,5,-999,4,-999,4,4,4,-999,4,-999,5,4,5,-999,5,-999,-999,5,7,7,8,5,5,5,9,7,7,8
0,1,1989,5,-999,1,2,3,4,-999,-999,4,-999,2,-999,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-999,1,1,-999,-999,1,-999,1,1,-999,5,2,-999,4,1,-999,-999,-999,-999,-999,-999,-999,3,3,-999,3,2,2,-999,5,-999,-999,3,4,7,3,-999,5,3,5,6,-999,2,4,-999,1,3,-999,5,3,-999,4,4,4,3,3,-999,-999,4,3,-999,-999,5,-999,6,6,-999,-999,6,6,6,-999,3,10,9,8,2,9,8,8,8,5
0,1,1990,5,-999,1,2,2,1,1,-999,2,1,3,2,4,2,3,1,4,3,2,5,1,5,4,2,5,5,4,3,3,5,5,-999,6,7,2,7,-999,-999,2,-999,-999,-999,-999,-999,6,2,-999,-999,-999,1,-999,-999,2,-999,7,1,6,6,2,-999,-999,1,1,7,-999,7,-999,6,-999,-999,-999,2,7,6,7,-999,1,7,5,-999,-999,6,5,3,3,-999,5,5,-999,5,5,6,5,-999,-999,-999,5,6,7,5,6,6,5,0,3,2,0,0,0,3,5,5,5
0,1,1990,5,-999,8,2,6,1,2,-999,3,7,-999,-999,2,2,2,2,5,5,2,2,2,4,2,2,2,5,5,2,2,4,5,1,7,7,-999,4,-999,1,-999,-999,7,7,7,-999,-999,-999,7,-999,-999,-999,5,-999,-999,7,-999,2,2,-999,7,-999,2,1,1,7,1,7,-999,7,7,1,-999,3,-999,1,7,-999,-999,-999,7,1,4,-999,1,1,-999,-999,-999,-999,7,7,-999,7,-999,-999,-999,7,-999,7,-999,-999,-999,6,-999,0,2,3,2,1,2,4,1,3,4
0,1,1984,5,-999,7,2,6,3,2,3,1,-999,1,-999,2,2,1,1,3,4,1,3,4,3,2,1,1,4,2,3,1,1,4,-999,1,-999,1,7,-999,-999,-999,1,-999,-999,7,3,5,1,7,1,7,-999,-999,-999,-999,2,-999,-999,2,-999,1,2,-999,2,2,4,1,7,1,7,-999,3,7,5,1,7,7,-999,-999,6,-999,1,1,5,3,1,4,-999,-999,4,-999,6,1,-999,-999,1,-999,6,-999,7,-999,7,7,7,6,1,6,5,0,1,0,7,10,7,3
0,2,1957,5,-999,8,2,5,1,1,-999,-999,7,2,3,2,1,1,1,5,3,3,4,4,5,3,4,5,4,5,3,3,4,5,-999,-999,-999,1,1,1,7,-999,-999,2,-999,1,1,-999,-999,-999,1,7,-999,-999,-999,1,-999,1,1,2,-999,-999,1,4,1,-999,-999,-999,4,-999,-999,3,6,-999,5,4,-999,1,5,-999,-999,5,-999,2,3,1,-999,1,1,1,4,4,-999,5,-999,3,3,6,6,-999,-999,-999,6,6,6,-999,2,1,2,1,1,0,3,3,7,7
0,2,1990,5,-999,1,2,6,6,-999,-999,-999,-999,1,2,1,1,1,1,2,1,1,3,4,4,2,1,4,4,5,4,1,3,5,1,1,1,1,-999,-999,5,-999,-999,4,-999,-999,-999,-999,-999,3,1,4,2,1,-999,-999,4,5,-999,4,-999,4,-999,4,1,5,-999,2,7,-999,7,4,4,7,5,-999,-999,4,1,2,7,7,6,3,-999,6,-999,6,5,-999,5,-999,-999,2,-999,-999,1,-999,-999,5,5,-999,5,-999,4,4,1,3,6,3,3,1,5,5,5,1
0,2,1985,1,-999,8,2,4,3,1,1,1,-999,1,1,1,1,1,1,5,3,3,5,5,5,5,5,4,4,5,5,5,5,5,2,7,-999,-999,-999,7,-999,7,-999,-999,-999,-999,-999,3,-999,-999,-999,2,-999,-999,6,2,4,3,4,2,-999,2,4,4,1,1,5,-999,4,1,1,-999,-999,-999,1,4,-999,7,1,-999,7,-999,1,-999,1,-999,1,-999,-999,-999,7,7,-999,7,7,-999,4,7,-999,4,7,-999,7,4,7,4,2,2,4,0,0,0,2,2,2,0
0,1,1993,5,-999,8,2,2,7,-999,1,-999,6,2,-999,1,1,1,1,4,5,2,3,5,5,5,2,1,5,5,4,2,1,5,1,-999,6,-999,-999,1,-999,-999,-999,6,5,4,3,3,-999,-999,-999,-999,2,1,-999,-999,-999,-999,6,2,6,5,6,3,-999,1,7,1,-999,1,-999,-999,2,-999,-999,-999,2,7,-999,-999,6,2,1,-999,-999,-999,1,-999,-999,2,6,-999,-999,6,5,6,2,7,-999,6,6,5,6,5,5,6,0,3,4,0,0,0,3,6,7,5
0,2,1976,5,-999,1,2,2,4,-999,1,1,5,1,-999,1,1,1,1,3,4,3,3,3,2,3,3,3,4,3,3,2,2,3,-999,1,-999,-999,-999,1,7,-999,-999,-999,1,4,1,-999,-999,-999,-999,7,1,1,1,-999,1,1,-999,1,-999,1,1,1,1,1,7,-999,7,1,7,7,-999,-999,1,6,-999,5,-999,-999,7,-999,1,-999,1,1,-999,-999,1,1,7,7,7,-999,-999,7,7,7,-999,-999,-999,7,5,-999,-999,7,3,3,5,5,5,4,5,4,8,8
0,1,1988,5,-999,1,2,3,2,1,1,1,7,-999,1,1,1,1,1,4,2,1,1,1,3,1,1,1,1,3,1,1,3,5,1,1,7,-999,-999,-999,7,-999,1,7,7,-999,7,7,-999,1,-999,7,-999,-999,-999,-999,-999,1,-999,-999,7,1,7,1,-999,1,7,-999,-999,-999,7,-999,1,7,1,-999,-999,7,1,1,7,1,1,-999,4,-999,-999,1,1,-999,-999,7,-999,7,7,-999,5,7,7,-999,7,7,7,-999,-999,7,0,0,0,0,0,0,0,0,0,0
0,1,1980,1,-999,1,2,4,5,-999,1,1,2,-999,1,2,2,2,2,4,2,3,3,3,2,3,3,4,4,3,2,3,4,4,-999,-999,7,1,5,-999,6,-999,-999,-999,4,-999,-999,2,6,3,4,-999,4,-999,3,-999,-999,4,-999,2,-999,-999,6,-999,4,4,6,4,-999,4,-999,-999,-999,7,4,6,2,-999,4,-999,7,-999,-999,-999,-999,2,-999,-999,2,3,-999,4,-999,6,6,4,4,-999,6,7,-999,7,6,-999,6,6,-999,0,0,0,2,4,3,3,2,7
0,1,1963,5,-999,8,2,2,5,1,1,1,-999,-999,1,1,1,1,1,3,3,2,3,4,4,2,2,2,5,4,3,2,3,5,-999,2,-999,1,-999,-999,-999,-999,2,5,-999,-999,2,2,1,2,-999,-999,1,1,-999,1,-999,1,-999,-999,5,-999,4,1,1,1,7,-999,-999,1,7,-999,1,7,3,-999,-999,7,1,-999,-999,4,1,1,1,-999,-999,-999,-999,1,-999,7,7,-999,-999,7,-999,-999,7,7,7,-999,6,-999,-999,7,0,4,6,0,0,3,2,0,7,1
0,2,1984,5,-999,8,2,7,1,1,-999,1,-999,1,2,1,4,1,1,4,3,4,4,5,3,3,4,3,4,4,4,3,4,4,1,-999,-999,1,-999,1,-999,-999,1,-999,6,-999,-999,2,-999,-999,1,4,1,-999,-999,7,4,-999,7,3,4,-999,5,-999,1,5,5,5,-999,-999,5,7,3,7,-999,5,5,3,1,6,-999,2,5,-999,-999,6,5,-999,-999,5,-999,-999,-999,5,4,2,6,-999,1,1,-999,-999,-999,1,-999,-999,0,0,5,0,0,0,0,0,0,0
0,1,1983,5,-999,1,2,1,4,-999,6,6,7,5,3,3,4,5,1,4,2,1,3,2,4,3,2,1,5,4,2,1,4,4,1,5,5,-999,-999,2,-999,2,5,-999,-999,3,-999,-999,4,5,-999,5,4,-999,-999,-999,-999,2,3,-999,3,-999,5,1,1,-999,-999,1,7,1,6,6,1,6,2,7,2,7,-999,1,-999,1,-999,-999,1,1,1,1,-999,1,-999,7,7,-999,7,7,7,6,5,5,-999,-999,5,5,-999,5,4,5,2,4,3,4,5,7,4,5
0,1,1975,5,-999,7,2,1,1,1,1,1,7,1,7,1,2,1,1,5,5,1,3,5,5,5,1,1,5,5,5,1,5,5,-999,-999,7,-999,-999,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1,-999,-999,-999,-999,4,7,4,-999,1,7,1,1,-999,1,1,-999,7,-999,-999,5,1,1,7,-999,7,1,3,4,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,5,7,5,7,-999,-999,7,4,6,-999,-999,7,7,0,0,0,0,0,0,0,0,0,0
0,2,1985,5,-999,3,2,1,4,1,1,1,-999,1,1,1,2,1,1,4,4,1,1,1,2,4,1,1,5,2,2,1,2,5,1,1,2,1,-999,1,-999,-999,-999,-999,-999,4,-999,3,-999,-999,-999,7,1,-999,-999,2,-999,2,1,1,5,2,-999,-999,1,1,7,-999,-999,1,7,7,1,7,-999,-999,1,-999,-999,-999,7,-999,-999,-999,1,1,-999,-999,1,1,-999,7,7,-999,7,7,-999,7,5,6,-999,-999,6,6,6,6,1,4,2,3,3,6,6,6,7,8
0,1,1983,5,-999,1,2,3,3,6,1,1,4,1,-999,1,2,2,1,4,4,4,4,2,3,4,2,2,4,4,4,4,5,4,-999,-999,-999,1,7,-999,7,1,1,5,1,5,-999,-999,2,-999,1,1,-999,1,-999,-999,-999,5,-999,-999,6,-999,6,-999,-999,1,7,1,-999,7,-999,-999,4,-999,-999,7,1,-999,1,1,-999,-999,1,-999,5,3,-999,2,2,-999,-999,6,7,5,-999,-999,2,7,5,6,5,-999,-999,6,5,5,4,7,6,0,2,3,5,6,3,0
0,1,1967,5,-999,1,2,5,2,-999,-999,1,7,-999,4,1,1,1,1,5,1,1,3,4,5,1,1,1,3,4,1,1,3,4,1,1,5,1,5,-999,4,1,-999,5,-999,-999,-999,-999,-999,1,-999,-999,1,1,1,-999,1,-999,-999,-999,-999,-999,1,1,-999,1,-999,1,-999,1,4,-999,1,-999,4,7,-999,5,-999,1,7,7,-999,1,1,-999,1,1,1,-999,-999,7,7,-999,-999,-999,7,-999,7,7,-999,-999,-999,7,-999,7,0,0,1,0,0,0,1,2,0,0
0,1,1995,2,-999,8,2,3,7,-999,2,-999,4,-999,1,2,2,2,2,2,2,1,2,3,2,1,2,1,2,1,1,1,4,3,-999,-999,4,-999,4,-999,3,-999,1,4,3,3,3,5,-999,2,-999,6,-999,-999,-999,-999,3,4,2,-999,-999,-999,-999,4,-999,-999,6,5,-999,-999,4,4,4,7,3,5,4,4,3,2,-999,4,-999,5,4,5,-999,-999,2,5,4,-999,5,4,-999,-999,4,-999,5,-999,-999,5,5,6,6,5,3,6,6,6,6,6,7,7,7,6
0,1,1987,5,-999,8,2,5,1,1,-999,1,-999,-999,4,1,5,1,1,5,4,3,3,3,4,4,4,2,2,3,3,3,3,3,-999,2,7,1,2,-999,-999,-999,5,-999,5,-999,-999,5,-999,5,5,-999,-999,5,-999,3,5,5,5,5,-999,-999,-999,1,7,5,-999,2,-999,6,7,-999,-999,7,7,-999,7,7,-999,-999,7,7,-999,-999,-999,1,-999,2,-999,-999,7,7,-999,-999,7,-999,7,7,-999,-999,1,7,1,-999,7,1,0,0,0,0,0,0,0,0,0,0
0,1,1984,5,-999,1,2,2,4,1,-999,4,5,2,-999,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,-999,-999,1,-999,2,1,-999,1,-999,-999,1,-999,-999,-999,-999,2,1,6,1,1,-999,1,4,-999,-999,-999,3,-999,2,-999,1,1,7,1,7,-999,-999,7,-999,7,1,7,1,-999,1,1,-999,2,1,1,-999,-999,1,1,1,-999,-999,-999,-999,7,-999,7,-999,7,-999,4,-999,-999,5,-999,6,4,6,7,6,5,5,7,6,7,6,8
0,1,1984,5,-999,2,2,2,3,2,2,2,6,-999,-999,1,1,1,1,4,3,2,4,4,4,4,4,3,4,4,4,2,4,4,2,-999,-999,-999,-999,-999,3,-999,5,6,-999,5,2,2,-999,5,-999,5,-999,3,2,2,-999,3,-999,5,-999,5,-999,2,1,-999,-999,2,-999,-999,6,7,-999,6,1,-999,-999,6,1,-999,-999,3,2,1,2,3,-999,2,2,2,5,6,-999,6,6,6,-999,-999,-999,-999,-999,6,6,6,-999,-999,2,6,6,2,2,3,3,6,5,5
